id;titulo;genero;ano;duracao(min)
1357;Miss March;Comedy;1935;176
1358;Hunt, The (Jagten);Drama;1955;92
1359;Only Old Men Are Going to Battle (V boy idut odni stariki);Comedy|Drama|War;1996;160
1360;Body Heat;Crime|Thriller;2013;167
1361;First a Girl;Comedy|Musical;1984;111
1362;Impudent Girl (L'effrontée);Comedy|Drama|Romance;1951;98
1363;Living Proof;Drama;1994;163
1364;Return of the Pink Panther, The;Comedy|Crime;1998;175
1365;Visitors;Documentary;1980;162
1366;Oyster Farmer;Drama;1969;77
1367;Letter From Death Row, A;Crime|Drama;1928;61
1368;Godzilla vs. Megalon (Gojira tai Megaro);Action|Sci-Fi;2013;100
1369;Lady, The;Drama;1950;179
1370;Fireman, The;Comedy;1961;121
1371;Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran);Drama;2012;168
1372;Couples Retreat;Comedy|Romance;1976;169
1373;Boogeyman;Drama|Horror|Mystery|Thriller;1966;129
1374;Eaten Alive (Mangiati Vivi);Adventure|Horror;1998;121
1375;Yo Yo (Yoyo);Comedy|Drama|Romance;1903;191
1376;Lincoln Lawyer, The;Crime|Drama|Thriller;1987;163
1377;Woman Who Drinks, The (La femme qui boit);Drama|Romance;1985;115
1378;Tom Jones;Adventure|Comedy|Romance;1977;62
1379;One Lucky Elephant;Documentary;1913;195
1380;Crash Reel, The;Documentary;1926;45
1381;Hearts Divided;Drama|Romance;1922;147
1382;Ira and Abby;Comedy;1946;155
1383;Baron of Arizona, The;Drama|Romance|Western;2003;145
1384;Saban, Son of Saban;Comedy|Crime|Mystery;1983;186
1385;Wrong Guy, The;Comedy|Romance|Thriller;1948;167
1386;Sidewalls (Medianeras);Drama;1944;201
1387;As it is in Heaven (Så som i himmelen);Drama|Musical|Romance;1951;150
1388;League of Their Own, A;Comedy|Drama;1981;88
1389;Player's Club, The;Comedy|Drama;1961;106
1390;Skyscraper (Skyskraber);Comedy|Drama;2001;63
1391;Goldene Zeiten;Comedy|Crime|Drama;1995;142
1392;Journey 2: The Mysterious Island;Action|Adventure|Comedy|Sci-Fi|IMAX;1940;74
1393;Something to Sing About;Comedy|Musical;1966;148
1394;Jackass 2.5;Comedy|Documentary;1946;159
1395;Bananaz;Documentary;1964;130
1396;Postcards From the Edge;Comedy|Drama;1989;209
1397;Half Light;Romance|Thriller;2005;126
1398;Deck the Halls;Comedy;1954;60
1399;You'll Find Out;Comedy|Horror|Musical|Mystery|Romance;2009;90
1400;Losing Isaiah;Drama;1922;204
1401;Day After Tomorrow, The;Action|Adventure|Drama|Sci-Fi|Thriller;1927;91
1402;Trick or Treat;Horror;1985;92
1403;The Shoe;(no genres listed);1982;209
1404;Dr. Phibes Rises Again;Adventure|Comedy|Horror|Romance;1904;165
1405;Margot at the Wedding;Drama;1921;166
1406;Twilight Samurai, The (Tasogare Seibei);Drama|Romance;1974;146
1407;Burn Up!;Action|Animation;1984;106
1408;Oxygen;Crime|Drama|Thriller;1983;175
1409;Bank, The;Comedy;2017;49
1410;Swimming;Drama;1993;104
1411;Shadow of Angels (Schatten der Engel);Drama;1951;57
1412;Interview with the Vampire: The Vampire Chronicles;Drama|Horror;2010;125
1413;Bionicle: The Legend Reborn;Action|Adventure|Animation|Sci-Fi;1959;63
1414;Last Dispatch, The;Documentary;1948;72
1415;Hotel Terminus: The Life and Times of Klaus Barbie (Hôtel Terminus);Documentary;2004;150
1416;Cream Lemon (Kurîmu remon);Comedy|Drama;1925;166
1417;Cosmic Monster, The;Drama|Horror|Sci-Fi;1908;161
1418;Good Ol' Freda;Documentary;1933;203
1419;Dr. Dolittle;Comedy;1904;170
1420;Knights;Action|Adventure|Sci-Fi;1923;154
1421;Distant Drums;Action|Romance|Western;1987;140
1422;Anne of Green Gables;Children|Comedy|Drama;1902;151
1423;Song of Sparrows, The (Avaze gonjeshk-ha);Drama;1942;118
1424;Which Way Is the Front Line From Here?  The Life and Time of Tim Hetherington;Documentary;1949;144
1425;Green Pastures, The;Drama;2004;75
1426;Alice in the Cities (Alice in den Stadten);Drama;1916;187
1427;Incredible Journey, The;Adventure|Children;1901;102
1428;Bride Wars;Comedy|Romance;1919;195
1429;Hard Candy;Drama|Thriller;1967;120
1430;No Nukes;Documentary|Musical;1928;176
1431;Saturday Night;Documentary;1930;96
1432;Possession of David O'Reilly, The ;Horror;2013;113
1433;Caged;Crime|Drama;1933;151
1434;Femme Fatale;Crime|Thriller;1951;79
1435;Gordy;Children|Comedy|Fantasy;1919;125
1436;Low Down, The;Drama;1931;134
1437;Small Back Room, The;Romance|Thriller;1995;93
1438;Sins;Drama|Romance;2008;204
1439;Perfect Plan, A (Plan parfait, Un);Adventure|Comedy|Romance;2011;123
1440;Kvarteret Skatan reser till Laholm;Comedy;1968;129
1441;Girl in the Café, The;Drama|Romance;1979;45
1442;House of Dracula;Horror;2000;184
1443;Liberal Arts;Comedy|Drama;1901;117
1444;Death of a Bureaucrat (La muerte de un burócrata);Comedy;1926;168
1445;Best of the Best;Action;1928;86
1446;Hunger, The;Horror;1990;181
1447;The True Story of Puss 'n Boots;Adventure|Animation|Children;1969;105
1448;Wyvern;Horror|Sci-Fi|Thriller;1948;111
1449;Night and the City;Crime|Drama;1973;201
1450;Hawking;Documentary;1981;79
1451;Castle, The;Comedy;2010;143
1452;Jaws 2;Horror|Thriller;1961;173
1453;In Hell;Action|Drama|Thriller;2003;84
1454;School of Flesh, The (École de la chair, L');Drama|Romance;1947;174
1455;Blades of Glory;Comedy|Romance;1939;188
1456;Cove, The;Documentary;1954;210
1457;Dead Space: Downfall;Action|Animation|Sci-Fi;1906;149
1458;Friday the 13th Part VIII: Jason Takes Manhattan;Horror;1990;133
1459;Facing the Giants;Action|Drama;1938;51
1460;Machete Maidens Unleashed!;Documentary;1944;126
1461;Legally Blonde;Comedy|Romance;2014;66
1462;Midnight in Paris;Comedy|Fantasy|Romance;1975;189
1463;War and Peace (Voyna i mir);Drama|Romance|War;1983;198
1464;Empire of the Ants;Horror|Sci-Fi;2006;205
1465;Doctor Who;Adventure|Sci-Fi;2017;97
1466;Winter War (Talvisota);Drama|War;1953;108
1467;Slumber Party Massacre II;Horror;1901;153
1468;Shaolin Soccer (Siu lam juk kau);Action|Comedy;1961;87
1469;Rocky VI ;Comedy;1901;192
1470;Animated Motion: Part 5;Animation|Documentary;1906;141
1471;Serious Moonlight;Comedy|Crime|Drama|Romance;2006;164
1472;Dog Problem, The;Comedy;1919;79
1473;Oblivion Island: Haruka and the Magic Mirror (Hottarake no shima - Haruka to maho no kagami);Adventure|Animation|Fantasy;1934;151
1474;Midnight's Children;Drama;1982;173
1475;Things We Lost in the Fire;Drama|Romance;1991;114
1476;Wood, The;Drama;1904;76
1477;Sweet Jesus, Preacherman;Action|Drama;2017;159
1478;Ip Man;Action|Drama|War;2002;90
1479;Beats Rhymes & Life: The Travels of a Tribe Called Quest;Documentary;1998;203
1480;As I Lay Dying;Drama;2013;191
1481;Meeting Evil;Crime|Drama|Mystery|Thriller;1921;96
1482;Two Little Boys;Comedy;1944;85
1483;Hidalgo;Adventure|Drama;1933;84
1484;Click;Adventure|Comedy|Drama|Fantasy|Romance;1931;175
1485;De la servitude moderne;Documentary;1978;185
1486;Adoration;Drama;1989;127
1487;Bull Durham;Comedy|Drama|Romance;1935;152
1488;Stand-In;Comedy;1983;193
1489;Batman;Action|Adventure|Crime|Sci-Fi|Thriller;1939;107
1490;Peculiarities of the National Hunt (Osobennosti natsionalnoy okhoty) ;Comedy;1986;197
1491;It Should Happen to You;Comedy|Romance;1967;84
1492;Besotted;Drama;2003;78
1493;Cat and the Canary, The;Comedy|Horror|Mystery;1945;198
1494;Mother Lode;Adventure;1975;97
1495;Grocer's Son, The (Fils de l'épicier, Le);Drama|Romance;1914;67
1496;Once Upon a Time in China (Wong Fei Hung);Action|Adventure|Drama;1932;138
1497;I'll Do Anything;Comedy|Drama;2013;106
1498;Death Warrant;Action;1969;193
1499;Life for Sale (Kotirauha);Drama;1904;210
1500;Parkland;Drama;1983;153
1501;Since Otar Left (Depuis qu'Otar est parti...);Drama;1970;119
1502;Shockproof;Crime|Drama|Film-Noir;1929;67
1503;Time Without Pity;Crime|Drama|Mystery;2014;68
1504;Beau Pere (a.k.a. Stepfather) (Beau-père);Drama;1997;87
1505;Child Is Waiting, A;Drama;1997;91
1506;Half Baked;Comedy;1950;109
1507;Hav Plenty;Comedy;1972;165
1508;Lawless Breed, The;Action|Romance|Western;1978;101
1509;Joshua;Drama;1914;112
1510;Debt, The;Thriller;1903;66
1511;Runner, The (Davandeh);Drama;1904;88
1512;Missing;Drama|Mystery|Thriller;1949;133
1513;Nenette and Boni (Nénette et Boni);Drama;1963;152
1514;Unknown Soldier, The (Tuntematon sotilas);Drama|War;1925;170
1515;Hero: Love Story of a Spy, The;Action|Adventure|Drama|Musical|Romance|Thriller|War;1920;151
1516;Cheaper by the Dozen;Comedy|Drama;1987;106
1517;Misconception;Documentary;1983;190
1518;To Live and Die in L.A.;Action|Crime|Drama|Thriller;1982;203
1519;Deceivers, The;Adventure|Drama|Thriller;1929;161
1520;Anderson Tapes, The;Crime|Drama|Thriller;1950;192
1521;Finder's Fee;Drama|Thriller;1980;73
1522;In the Name of the King: A Dungeon Siege Tale;Action|Adventure|Fantasy;1932;76
1523;Salvador;Drama|Thriller|War;1946;128
1524;Last Supper, The;Drama|Thriller;1965;156
1525;Manhunter;Action|Crime|Drama|Horror|Thriller;1980;182
1526;Awake;Drama|Thriller;2013;86
1527;Stage Door Canteen;Comedy|Musical|Romance|War;1909;79
1528;We Are the Best! (Vi är bäst!);Children|Comedy|Drama;1908;167
1529;Man on a Mission: Richard Garriott's Road to the Stars;Documentary;1916;94
1530;Friend of Mine, A (Ein Freund von mir);Comedy|Drama;1997;93
1531;Prince of Pennsylvania, The;Comedy|Drama;1997;166
1532;Blind Pig Who Wants to Fly (Babi buta yang ingin terbang);Drama;1906;113
1533;Barbary Coast;Adventure|Drama|Romance|Western;1907;149
1534;One Magic Christmas;Drama|Fantasy;1962;70
1535;Watcher, The;Crime|Thriller;1908;121
1536;Memories (Memorîzu);Animation|Fantasy|Sci-Fi|Thriller;1959;106
1537;My Mother's Smile (a.k.a. The Religion Hour) (L'ora di religione) (Il sorriso di mia madre);Drama;1923;105
1538;Guy X;Comedy|War;1930;201
1539;New Age, The;Drama;1922;88
1540;Animal Crackers;Comedy|Musical;2007;97
1541;Arsène Lupin;Mystery|Romance;1918;136
1542;Whatever;Drama;2010;171
1543;Tony Takitani;Drama;1901;99
1544;Actress, The;Comedy|Drama;1954;94
1545;Green Street Hooligans (a.k.a. Hooligans);Crime|Drama;1986;141
1546;Cruel Intentions 2 (Cruel Intentions 2: Manchester Prep);Comedy|Drama;1992;186
1547;Eden;Drama|Romance;2001;201
1548;Nocturno 29;(no genres listed);2007;71
1549;Tiger's Tail, The;Comedy|Crime|Drama|Mystery|Thriller;1964;127
1550;Color of Pomegranates, The (Sayat Nova);Drama;1990;181
1551;Swan Princess: The Mystery of the Enchanted Treasure, The;Animation|Children|Fantasy|Mystery;2003;124
1552;Mishen (Target);Drama|Sci-Fi;1936;133
1553;Astronaut Farmer, The;Drama;1938;94
1554;Seven Years Bad Luck;Comedy;1972;200
1555;Heaven's Burning;Action|Drama;1957;110
1556;Blackbeard, the Pirate;Adventure;1991;208
1557;Education of Mohammad Hussein, The;Documentary;1901;58
1558;U-571;Action|Thriller|War;1967;107
1559;Love That Boy;Comedy|Romance;1913;189
1560;Amati Girls, The;Drama;1987;60
1561;Sugar;Drama;1922;161
1562;Theory of Everything, The;Drama;1928;206
1563;Grace;Drama|Horror|Thriller;1966;205
1564;Blood Beach;Horror|Mystery;1992;115
1565;Fuga de cerebros;Comedy;1992;201
1566;Cabinet of Caligari, The;Thriller;1927;64
1567;See No Evil;Crime|Drama|Horror|Thriller;2018;195
1568;Kolka Cool;Comedy|Drama;2001;181
1569;Isi & Disi: Amor a lo bestia;(no genres listed);1985;173
1570;Hysteria: The Def Leppard Story;Drama;1911;52
1571;Endeavour;Crime|Drama|Mystery;2009;203
1572;Claire Dolan;Drama;1904;149
1573;Ringu 2 (Ring 2);Horror|Mystery;1949;197
1574;Punching the Clown;Comedy;2009;129
1575;Leonard Part 6;Comedy|Sci-Fi;1951;192
1576;Cabaret Balkan (Bure Baruta);Drama;1983;48
1577;Negotiator, The;Action|Crime|Drama|Mystery|Thriller;1963;115
1578;Pleasure at Her Majesty's;Comedy|Documentary;1943;111
1579;Obvious Child;Comedy|Romance;1903;162
1580;Noose, The (Petla);Drama;1995;111
1581;Last Emperor, The;Drama;1975;55
1582;Random Hearts;Drama|Romance;1988;148
1583;Jesse James;Action|Crime|Drama|Romance|Western;1916;46
1584;13th Letter, The;Film-Noir;1932;58
1585;Jeremiah Johnson;Western;1938;113
1586;The Chaos Class Failed the Class;Comedy;1930;103
1587;Rahtree: Flower of the Night (Buppha Rahtree);Comedy|Drama|Horror|Thriller;1968;128
1588;Bikini Summer;Comedy;1907;172
1589;Some Came Running;Drama|Romance;1937;46
1590;Breathless;Action|Drama|Romance|Thriller;1933;206
1591;Jolene;Drama;1990;160
1592;Broken Bridges;Drama;1905;48
1593;Earthsea (Legend of Earthsea);Adventure|Drama|Fantasy;2015;193
1594;Thaw, The;Horror|Sci-Fi|Thriller;1980;78
1595;Toronto Stories;Drama;1967;139
1596;Zombie Strippers!;Comedy|Horror;1967;133
1597;Expelled;Comedy;1972;49
1598;Wild About Harry;Comedy|Drama|Romance;1988;203
1599;Kings of Recycling (Kierrätyksen kuninkaat);Documentary;1950;197
1600;Other F Word, The;Comedy|Documentary|Drama;1982;171
1601;Touch of Sin, A (Tian zhu ding);Drama;1984;173
1602;Camp;Comedy|Musical;1923;153
1603;Stranger than Fiction;Comedy|Drama|Fantasy|Romance;1991;134
1604;Food Matters;Documentary;1920;132
1605;Comedy of Innocence (Comédie de l'innocence);Drama|Thriller;1923;172
1606;Halloweentown II: Kalabar's Revenge;Adventure|Children|Comedy|Drama|Fantasy;1995;150
1607;Nighthawks;Action|Drama;1937;53
1608;Happy Endings;Comedy|Drama;1985;108
1609;Porgy and Bess;Drama|Musical|Romance;1987;150
1610;Deceiver;Crime|Drama|Thriller;1963;66
1611;Pot O' Gold;Comedy|Musical;2006;197
1612;Zapped Again!;Comedy|Sci-Fi;1991;199
1613;Cold Storage;Thriller;1920;161
1614;Home Run;Drama;1949;100
1615;Master of Disguise, The;Comedy|Mystery;1926;132
1616;Wolfen;Horror;1970;108
1617;Wolf;Drama|Horror|Romance|Thriller;1907;59
1618;Crimson Tide;Drama|Thriller|War;1996;136
1619;Practical Magic;Drama|Fantasy|Mystery|Romance;1980;134
1620;My Giant;Comedy;1927;157
1621;Pure Luck;Comedy|Crime;1985;190
1622;Oh, Susanna!;Romance|Western;1912;52
1623;The Suspicious Death of a Minor;Comedy|Crime|Thriller;1963;175
1624;How About You...;Comedy|Drama;1961;160
1625;Shot at Glory, A;Drama;2012;63
1626;Traviata, La;Drama|Musical;1936;123
1627;Tarzan and the Lost City;Action|Adventure;2008;155
1628;Stand by Me;Adventure|Drama;1942;50
1629;Hellsinki (Rööperi);Crime;1991;62
1630;X-Men: Days of Future Past;Action|Adventure|Sci-Fi;1982;47
1631;Dear Mr. Watterson;Documentary;1986;86
1632;Skeletons;Comedy|Fantasy;1940;109
1633;Nitro Circus: The Movie;Action|Comedy|Documentary;1998;187
1634;Vicious Kind, The;Comedy|Drama;1933;164
1635;Badmaash Company;Comedy|Crime|Drama;1933;74
1636;Brother's Keeper;Documentary;1910;125
1637;Pork Chop Hill;War;1973;64
1638;Island at War;Drama|War;1951;145
1639;Blue;Drama;1912;131
1640;Lovely to Look At;Comedy|Musical|Romance;2016;107
1641;When the Wind Blows;Animation|War;1926;60
1642;Jackpot;Drama;1951;75
1643;1969;Drama|War;1937;97
1644;Centurion;Action|Adventure|Drama|Thriller|War;1927;153
1645;Cruel Intentions;Drama;1919;207
1646;51;Horror|Sci-Fi;1963;140
1647;No Flesh Shall Be Spared;Documentary;2010;141
1648;You Are God (Jestes Bogiem);Drama;1963;202
1649;When Night Is Falling;Drama|Romance;1988;62
1650;Position Among The Stars (Stand van de Sterren);Documentary;2015;166
1651;Maid in Sweden;Drama;1994;151
1652;Dinosaur Project, The;Adventure;1934;50
1653;5 Deadly Venoms, The (Wu du) (Five Deadly Venoms);Action;2006;190
1654;Orphanage, The (Orfanato, El);Drama|Horror|Mystery|Thriller;1935;53
1655;Three Strangers;Crime|Drama;1952;200
1656;Rudderless;Comedy|Drama;1991;180
1657;Crying Game, The;Drama|Romance|Thriller;2001;134
1658;Narrow Margin;Crime|Thriller;1980;133
1659;Everything Relative;Drama;1982;167
1660;ABBA: The Movie;Musical;1945;80
1661;Alice in Wonderland;Adventure|Children|Fantasy;1986;103
1662;National Lampoon's Van Wilder;Comedy;1987;84
1663;Latitude Zero (Ido zero daisakusen);Action|Adventure|Sci-Fi;1973;204
1664;Go for Sisters;Crime|Drama;1956;129
1665;Conquest of Space;Sci-Fi;1982;91
1666;Extraordinary Adventures of Adèle Blanc-Sec, The;Action|Adventure|Fantasy|Mystery;1985;59
1667;Conan the Barbarian;Action|Adventure|Fantasy;1935;179
1668;Purple Violets;Comedy|Drama|Romance;2009;178
1669;Our Daily Bread (Unser täglich Brot);Documentary;1938;48
1670;Tales from the Golden Age (Amintiri din epoca de aur);Comedy;1986;79
1671;Boyz N the Hood;Crime|Drama;1948;98
1672;Rapt;Drama;1960;186
1673;Love Is News;Comedy|Romance;2010;117
1674;Rat Race;Comedy;2013;160
1675;Serving Sara;Comedy|Romance;2005;168
1676;Aziz Ansari: Intimate Moments for a Sensual Evening;Comedy|Documentary;1906;108
1677;Miss Sweden (Fröken Sverige);Drama;1981;50
1678;Push;Sci-Fi|Thriller;2000;194
1679;Page of Madness, A (Kurutta ippêji);Drama|Horror;1908;100
1680;One Week;Adventure|Drama;1976;162
1681;Vanya on 42nd Street;Drama;1902;55
1682;Bobby;Drama;1934;147
1683;Let's Scare Jessica to Death;Horror|Mystery;1951;101
1684;Reincarnated;Adventure|Documentary;2001;148
1685;Stop Making Sense;Documentary|Musical;1913;131
1686;Laid To Rest;Horror;1950;74
1687;Progression;Adventure|Documentary;1929;177
1688;Rocky Horror Picture Show, The;Comedy|Horror|Musical|Sci-Fi;1955;107
1689;United 93;Crime|Drama;2008;150
1690;Mouse Hunt;Children|Comedy;1934;73
1691;D-Day;Action|Thriller;1962;150
1692;Half Nelson;Drama;1976;165
1693;America 3000;Action|Adventure|Sci-Fi;1930;94
1694;Lady and the Reaper, The (Dama y la muerte, La);Action|Animation|Comedy|Drama|Fantasy;1973;127
1695;Canal, The;Horror|Thriller;2009;207
1696;Rainmaker, The;Drama;1913;96
1697;Bakeneko: A Vengeful Spirit (Kaibyô nori no numa) (Ghost-Cat Cursed Pond, The);Horror;2000;62
1698;Demons (Dèmoni);Horror;1923;206
1699;Junkopia;Documentary;1957;143
1700;633 Squadron;Drama|War;2003;57
1701;Flight;Drama;1949;169
1702;Wedding Trough (Vase de noces);Horror|Romance;1957;191
1703;Meilleur espoir féminin;(no genres listed);1975;121
1704;D.A.R.Y.L.;Adventure|Children|Sci-Fi;2005;64
1705;V/H/S;Horror|Thriller;1957;162
1706;Kiki;Comedy;1917;83
1707;Hard Luck;Crime|Drama|Thriller;1937;144
1708;Camino;Drama;1971;147
1709;Hound of the Baskervilles, The;Crime|Mystery;1990;144
1710;Movie, A;Documentary;2001;79
1711;What Planet Are You From?;Comedy|Sci-Fi;1995;197
1712;Fantasma;Drama;1987;158
1713;Love Me Tonight;Comedy|Musical;1959;98
1714;Séraphine;Drama|War;1905;201
1715;Castle of Blood;Horror;1982;97
1716;House (Hausu);Comedy|Fantasy|Horror;1986;75
1717;Double Or Nothing;(no genres listed);2014;111
1718;Life of David Gale, The;Crime|Drama|Thriller;1992;65
1719;Venus Beauty Institute (Vénus beauté);Comedy|Drama|Romance;1999;94
1720;Despair;Drama|Fantasy;1921;104
1721;Halloween 4: The Return of Michael Myers;Horror;1947;200
1722;Frownland;Comedy|Drama;2005;48
1723;Sketches of Frank Gehry;Documentary;1987;203
1724;Shoeshine (Sciuscià);Drama;1982;156
1725;Rocking Horse Winner, The;Drama|Horror;1993;86
1726;Facing the Truth (At kende sandheden);Drama;1987;193
1727;Teenage Mutant Ninja Turtles;Action|Children|Comedy|Fantasy|Sci-Fi;1969;104
1728;Land Before Time II: The Great Valley Adventure, The;Adventure|Animation|Children|Musical;1969;109
1729;Petulia;Drama;1902;179
1730;Death and the Maiden;Drama|Thriller;1991;196
1731;Dark of the Sun;Action|Adventure|Drama|War;1912;202
1732;Diggers;Comedy|Drama;1932;75
1733;The Last Train through Harecastle Tunnel;Drama;1931;174
1734;Missing Star, The (La stella che non c'è);Drama;1990;183
1735;Dark Backward, The;Comedy;1975;115
1736;Drillbit Taylor;Comedy;1977;81
1737;Groomsmen, The;Comedy|Drama|Romance;1920;167
1738;Blackfish;Documentary;1941;152
1739;Torrente 2: Misión Marbella;Action|Comedy|Crime;1953;185
1740;Slammin' Salmon, The;Comedy;1957;47
1741;Badlands;Crime|Drama|Thriller;1955;137
1742;Craig Ferguson: Does This Need to Be Said?;Comedy;2006;130
1743;Memories of Underdevelopment (Memorias del subdesarrollo);Drama;1977;67
1744;Command Performance;Action|Drama|Thriller;1996;135
1745;Ah, Wilderness!;Comedy|Drama;1980;75
1746;Theatre of Blood;Comedy|Horror|Mystery;1933;131
1747;Curse of the Demon (Night of the Demon);Fantasy|Horror|Mystery;1992;88
1748;Kiss for Corliss, A (Almost a Bride);Comedy;1900;182
1749;Journey Into Fear;Drama|Film-Noir|War;1927;178
1750;5 Days of War;Action|Drama|War;1951;153
1751;Earth;Documentary;1918;110
1752;Deception;Action|Drama|Thriller;2005;152
1753;Knockin' on Heaven's Door;Action|Comedy|Crime|Drama;2005;85
1754;Avalon;Drama|Fantasy|Sci-Fi;1948;83
1755;Charlie Chan's Secret;Comedy|Crime|Horror|Mystery|Thriller;1957;203
1756;Ride the Divide;Adventure|Documentary;2006;159
1757;Phantom of the Opera;Horror|Musical|Thriller;1923;60
1758;Irma la Douce;Comedy;1943;68
1759;Virginia;Drama;1980;160
1760;Thirty-Nine Steps, The;Crime|Mystery|Thriller;1934;196
1761;Hotel Transylvania;Animation|Children|Comedy;1926;175
1762;Annabelle;Horror;2002;194
1763;Exit Through the Gift Shop;Comedy|Documentary;1914;129
1764;Iron Man 2;Action|Adventure|Sci-Fi|Thriller|IMAX;1912;50
1765;Vampir (Cuadecuc, vampir);Documentary|Horror;1931;50
1766;Good Copy Bad Copy;Documentary;1927;87
1767;Wasabi;Action|Comedy|Crime|Drama|Thriller;2002;47
1768;Jubilation Street;(no genres listed);1949;186
1769;Last Unicorn, The;Animation|Children|Fantasy;1974;163
1770;Long Ride Home, The;Romance|Western;1955;74
1771;Nude Bomb, The;Comedy;1952;75
1772;Esa ja Vesa - auringonlaskun ratsastajat;Action|Adventure|Comedy|Crime;2009;134
1773;Romeo and Juliet;Drama|Romance;1994;92
1774;Fire;Drama;1910;133
1775;Keoma;Action|Drama|Western;1967;168
1776;Gun Woman;Action|Thriller;1952;62
1777;London Paris New York;Romance;1930;66
1778;Help!;Comedy|Musical;2004;176
1779;Flu Bird;Horror;1949;97
1780;Annie;Children|Musical;1992;191
1781;Arena;Action|Thriller;1965;62
1782;Chilly Scenes of Winter (Head Over Heels);Comedy|Drama|Romance;1924;149
1783;Blame It on the Bellboy;Comedy;1909;49
1784;Star Maker, The (Uomo delle stelle, L');Drama;1968;71
1785;Assault, The (L'assaut);Action|Thriller;1991;152
1786;Suicide Kings;Comedy|Crime|Drama|Mystery|Thriller;2002;151
1787;Not on Your Life (Verdugo, El) (Executioner, The);Comedy|Drama;1987;179
1788;Snowblind;Western;1951;63
1789;House by the Cemetery, The (Quella villa accanto al cimitero);Horror;1926;210
1790;Lola (Twinky) (London Affair);Comedy|Drama|Romance;1934;62
1791;Mr. Belvedere Goes to College;Comedy;1921;148
1792;Big Jim McLain;Action|Crime|Drama|Romance|Thriller;2000;50
1793;Veronika Voss (Sehnsucht der Veronika Voss, Die);Drama;1921;161
1794;The Woman on Pier 13;Drama|Thriller;1902;82
1795;Erotic Man, The;Drama;1906;136
1796;Hideaway;Thriller;1978;116
1797;Highway ;Crime|Drama|Romance;1900;204
1798;Hard to Hold;Drama|Romance;1988;70
1799;Quicksand;Crime|Drama|Thriller;1985;178
1800;City Limits;Action|Sci-Fi;1977;186
1801;In Two Minds;(no genres listed);1990;141
1802;Bad Girls;Western;2007;45
1803;Planet of Snail;Documentary|Drama;1985;120
1804;Enid Is Sleeping;Comedy;1927;103
1805;Contagion;Sci-Fi|Thriller|IMAX;1921;56
1806;The Stanford Prison Experiment;Drama|Thriller;1960;138
1807;Graffiti Bridge;Drama|Musical;1923;166
1808;Green Light;Drama|Romance;1923;199
1809;Killer (Tueur à gages);Action|Crime|Thriller;1965;77
1810;Crossfire;Crime|Film-Noir;1983;86
1811;Star Wars: Episode I - The Phantom Menace;Action|Adventure|Sci-Fi;2008;120
1812;Rush Hour 3;Action|Comedy|Crime|Thriller;1961;169
1813;The Magical Legend of the Leprechauns;Adventure|Children|Comedy|Fantasy|Romance;1941;161
1814;Go Figure (Va savoir);Comedy|Drama|Romance;1936;133
1815;40 Days and 40 Nights;Comedy|Romance;1975;92
1816;10 Questions for the Dalai Lama;Documentary;1955;137
1817;Wallace & Gromit in The Curse of the Were-Rabbit;Adventure|Animation|Children|Comedy;2014;57
1818;Morgan Pålsson - världsreporter;Action|Comedy;1991;52
1819;Nanny McPhee Returns (a.k.a. Nanny McPhee and the Big Bang);Children|Comedy|Fantasy;2009;89
1820;Driver, The;Action|Crime|Film-Noir;1903;169
1821;James Dean Remembered;Documentary;1972;155
1822;Carabineers, The (Carabiniers, Les);Comedy|Drama|War;1968;140
1823;Werckmeister Harmonies (Werckmeister harmóniák);Drama;1914;207
1824;Derrida;Documentary;1945;169
1825;Angel of Mine (a.k.a. The Mark of an Angel) (L'empreinte de l'ange);Drama;1993;160
1826;Misadventures of Margaret, The;Comedy|Romance;1926;46
1827;Ricky Gervais Live 2: Politics;Comedy;1923;108
1828;8 Million Ways to Die;Action|Adventure|Crime|Thriller;1925;178
1829;Private Hell 36;Crime|Drama|Film-Noir;1939;132
1830;Dead Silence;Horror|Mystery|Thriller;1989;114
1831;Thunderbolt and Lightfoot;Action;1973;75
1832;Mondo Topless;Documentary;1936;48
1833;I Am Maria (Jag är Maria);Drama;1972;151
1834;Drifting Clouds (Kauas pilvet karkaavat);Comedy|Drama;1953;176
1835;Blue Collar;Crime|Drama;2001;99
1836;Grind;Action|Comedy;2012;104
1837;Spook Who Sat by the Door, The;Action|Crime|Drama;1967;162
1838;Staggered;Comedy;1944;209
1839;Firemen's Ball, The (Horí, má panenko);Comedy|Drama;1981;109
1840;Million Dollar Baby;Drama;1993;114
1841;Awful Truth, The;Comedy;1989;115
1842;Defenders of Riga;Action|Drama|War;2018;66
1843;Lost World: Jurassic Park, The;Action|Adventure|Sci-Fi|Thriller;1945;182
1844;Totally F***ed Up;Drama;1916;118
1845;Ulzana's Raid;Adventure|Western;2001;139
1846;Enron: The Smartest Guys in the Room;Documentary;1971;165
1847;Glass House, The;Thriller;1922;116
1848;And So It Goes;Comedy|Drama|Romance;1909;183
1849;Restless (Levottomat);Drama|Romance;2007;144
1850;Hitman (Contract Killer) (Sat sau ji wong);Action|Comedy;1977;47
1851;Dragonheart 3: The Sorcerer's Curse;Action|Adventure|Fantasy;1928;83
1852;Choking Man;Drama;1941;137
1853;Taistelu Näsilinnasta 1918;War;1936;66
1854;Maximum Overdrive;Horror;1957;46
